headline,category,url
Google Gemini 2.0 już jest. AI z nowymi możliwościami,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-google-gemini-2-0-juz-jest-ai-z-nowymi-mozliwosciami,nId,20355706"
Największe drony polskiej armii. Podpisano umowę na MQ-9B,technologia,"https://geekweek.interia.pl/militaria/news-najwieksze-drony-polskiej-armii-podpisano-umowe-na-mq-9b,nId,20355697"
Netflix zalicza wpadkę. Wyciekły dane uczestników konkursu,technologia,"https://geekweek.interia.pl/technologia/news-netflix-zalicza-wpadke-wyciekly-dane-uczestnikow-konkursu,nId,20355694"
"Osa z nowym ""żądłem"". Samoloty i drony będą spadać z nieba",technologia,"https://geekweek.interia.pl/militaria/news-osa-z-nowym-zadlem-samoloty-i-drony-beda-spadac-z-nieba,nId,20355689"
Max i Player trafiają na kolejne telewizory,technologia,"https://geekweek.interia.pl/technologia/news-max-i-player-trafiaja-na-kolejne-telewizory,nId,20355629"
"Chiny zaskoczyły Stany Zjednoczone ""niewidzialnym"" myśliwcem",technologia,"https://geekweek.interia.pl/lotnictwo/news-chiny-zaskoczyly-stany-zjednoczone-niewidzialnym-mysliwcem,nId,20355685"
Dramat Rosjan. Wydali 4000 złotych na iPhone'a z plasteliny,technologia,"https://geekweek.interia.pl/technologia/news-dramat-rosjan-wydali-4000-zlotych-na-iphone-a-z-plasteliny,nId,20355686"
Syryjscy rebelianci chwalą się przejętą rosyjską bronią,technologia,"https://geekweek.interia.pl/militaria/news-syryjscy-rebelianci-chwala-sie-przejeta-rosyjska-bronia,nId,20355684"
Chińczyk oskarżony o szpiegostwo. Latał dronem nad bazą USA,technologia,"https://geekweek.interia.pl/bezpieczenstwo/news-chinczyk-oskarzony-o-szpiegostwo-latal-dronem-nad-baza-usa,nId,20355670"
Porażka AI. Luigi Mangione przechytrzył technologię,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-porazka-ai-luigi-mangione-przechytrzyl-technologie,nId,20355641"
Chińskie służby testują autonomicznego robo-policjanta,technologia,"https://geekweek.interia.pl/roboty/news-chinskie-sluzby-testuja-autonomicznego-robo-policjanta,nId,20355651"
Samsung Galaxy S25 wprowadzi wyczekiwaną funkcję,technologia,"https://geekweek.interia.pl/technologia/news-samsung-galaxy-s25-wprowadzi-wyczekiwana-funkcje,nId,20355639"
"""Kiedyś science fiction, dziś rzeczywistość"". Ruta po testach",technologia,"https://geekweek.interia.pl/militaria/news-kiedys-science-fiction-dzis-rzeczywistosc-ruta-po-testach,nId,20355615"
Zniszczyli aż 30 myśliwców w Syrii. Rosja bezradna,technologia,"https://geekweek.interia.pl/lotnictwo/news-zniszczyli-az-30-mysliwcow-w-syrii-rosja-bezradna,nId,20355607"
Ikony aplikacji na smartfonach skrywają brzydki sekret,technologia,"https://geekweek.interia.pl/internet/news-ikony-aplikacji-na-smartfonach-skrywaja-brzydki-sekret,nId,20355550"
Rosyjska broń z Syrii może trafić do Ukrainy,technologia,"https://geekweek.interia.pl/militaria/news-rosyjska-bron-z-syrii-moze-trafic-do-ukrainy,nId,20355610"
Sprzeciwiają się ekspansji Starlink. Musk jest „rosyjski” ,technologia,"https://geekweek.interia.pl/internet/news-sprzeciwiaja-sie-ekspansji-starlink-musk-jest-rosyjski,nId,20355562"
OpenAI wypuszcza narzędzie go generowania filmów z treści,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-openai-wypuszcza-narzedzie-go-generowania-filmow-z-tresci,nId,20355540"
Nowe prawo w UE od 28 grudnia. Chodzi o ładowarki do telefonu,technologia,"https://geekweek.interia.pl/technologia/news-nowe-prawo-w-ue-od-28-grudnia-chodzi-o-ladowarki-do-telefonu,nId,20355561"
Raspberry Pi 500 zaprezentowany. Komputer w klawiaturze,technologia,"https://geekweek.interia.pl/technologia/news-raspberry-pi-500-zaprezentowany-komputer-w-klawiaturze,nId,20355533"
Rosja śmieje się nam w twarz. Kilka kliknięć i towar płynie,technologia,"https://geekweek.interia.pl/militaria/news-rosja-smieje-sie-nam-w-twarz-kilka-klikniec-i-towar-plynie,nId,20355506"
Gigantyczna porażka amerykańskich czołgów Abrams w Ukrainie,technologia,"https://geekweek.interia.pl/militaria/news-gigantyczna-porazka-amerykanskich-czolgow-abrams-w-ukrainie,nId,20355503"
Rosjanie w panice zabrali wszystkie bombowce. Sukces Ukrainy,technologia,"https://geekweek.interia.pl/lotnictwo/news-rosjanie-w-panice-zabrali-wszystkie-bombowce-sukces-ukrainy,nId,20355504"
iOS 18.2. Co nowego z aktualizacją dla iPhone'a?,technologia,"https://geekweek.interia.pl/technologia/news-ios-18-2-co-nowego-z-aktualizacja-dla-iphone-a,nId,20355468"
