headline,content,url,category
To historyczny moment. Pierwszy lot transatlantycki na biopaliwie,"Gulfstream Aerospace przeszło do historii, jeden z samolotów G600 producenta wykonał pierwszy na świecie lot transatlantycki, spalając w 100 proc. zrównoważone paliwo lotnicze (SAF). Przemysł lotniczy","https://geekweek.interia.pl/technologia/news-to-historyczny-moment-pierwszy-lot-transatlantycki-na-biopal,nId,7166952",Technologia
Niezwykła maszyna drukuje całe domy. Koszt to jedynie 1000 dolarów,"W Kolumbii pracę ma rozpocząć jedna z najbardziej niezwykłych maszyn na świecie. Drukuje ona całe domy, zaś budulcem jest glina, błoto lub cement. Szykuje się rewolucja w świecie budownictwa? Program","https://geekweek.interia.pl/technologia/news-niezwykla-maszyna-drukuje-cale-domy-koszt-to-jedynie-1000-do,nId,7765049",Technologia
Spotify wyjdzie z Polski? Drastyczny scenariusz możliwy,"Czy to możliwe, aby Spotify wyszło z Polski? Popularny serwis streamingowy jest zdolny do podejmowania takich decyzji. Firma zadecydowała, że kończy działalność w Urugwaju. Wszystko przez kontrowersyj","https://geekweek.interia.pl/technologia/news-spotify-wyjdzie-z-polski-drastyczny-scenariusz-mozliwy,nId,7164835",Technologia
Opaska sportowa czy smartwatch? Poznaj różnice,"Co lepiej wybrać, smartwatch czy opaskę sportową? Choć oba rodzaje urządzeń zakładamy na rękę, to różnią się działaniem, możliwościami i ceną. Jeżeli chcecie dokonać właściwego wyboru, to pora poznać","https://geekweek.interia.pl/technologia/news-opaska-sportowa-czy-smartwatch-poznaj-roznice,nId,7823325",Technologia
Uczy chodzić... rażąc prądem! Przełom w nawigacji dla niewidomych,"Systemy nawigacji dla pieszych to w ostatnich latach gorący trend, który ma szansę zrewolucjonizować samodzielne poruszanie się osób niewidomych i niedowidzących. Nowy pomysł brzmi jednak dość kontrow","https://geekweek.interia.pl/technologia/news-uczy-chodzic-razac-pradem-przelom-w-nawigacji-dla-niewidomyc,nId,7085126",Technologia
"Ogrzewasz pokój farelką? Liczymy, ile zapłacisz za prąd","Farelki to szybkie źródło ciepła, ale czy jest to oszczędny sposób na ogrzanie pomieszczenia? Sprawdzamy, ile prądu pobiera farelka, czy może działać całą noc i jaki zapłacimy rachunek za energię? Pot","https://geekweek.interia.pl/technologia/news-ogrzewasz-pokoj-farelka-liczymy-ile-zaplacisz-za-prad,nId,20355128",Technologia
iPhone'y dostają nowego asystenta AI. Tym razem od Google,Google Gemini rozgaszcza się na telefonach iPhone. Po wersji na Androida przyszedł czas na sprzęty z logo Apple. Aplikacja została udostępniona w App Store. Co umożliwia Gemini na iPhone'ach? Google c,"https://geekweek.interia.pl/technologia/news-iphone-y-dostaja-nowego-asystenta-ai-tym-razem-od-google,nId,7855438",Technologia
Mac Mini z Apple M4 zaprezentowany. Znamy polskie ceny,"Mac Mini z czipem Apple M4 dołącza do portfolio komputerów z logo nadgryzionego jabłka. Nowa maszyna jest bardzo mała i została zamknięta w kompaktowej obudowie, która na pierwszy rzut oka przypomina","https://geekweek.interia.pl/technologia/news-mac-mini-z-apple-m4-zaprezentowany-znamy-polskie-ceny,nId,7845634",Technologia
Bez licznika z kodem 2.8.0 fotowoltaika na dachu nie ma sensu,"Każdy posiadacz instalacji fotowoltaicznej musi zainstalować dwukierunkowy licznik prądu. To urządzenie, które zapewni poprawną pracę i produkcję energii przez instalację. Jak odczytać licznik dwukier","https://geekweek.interia.pl/technologia/news-bez-licznika-z-kodem-2-8-0-fotowoltaika-na-dachu-nie-ma-sens,nId,7347573",Technologia
Ale rozmach! 62 tys. paneli i największy dach solarny na świecie,"Dubaj kojarzy się głównie z przepychem i bogactwem, ale największe miasto w Zjednoczonych Emiratach Arabskich coraz mocniej stawia na zrównoważony rozwój i odnawialne źródła energii. Wystarczy tylko s","https://geekweek.interia.pl/technologia/news-ale-rozmach-62-tys-paneli-i-najwiekszy-dach-solarny-na-swiec,nId,7830059",Technologia
Politechnika Wrocławska uruchomiła innowacyjne laboratorium elektromobilności ,"Politechnika Wrocławska przy współpracy z LG Energy Solution Wrocław otworzyła Laboratorium Elektromobilności, czyli innowacyjne miejsce pozwalające na opracowywanie i testowanie nowoczesnych silników","https://geekweek.interia.pl/technologia/news-politechnika-wroclawska-uruchomila-innowacyjne-laboratorium,nId,7164875",Technologia
