headline,category,content,url
Dziwne SMS-y trafiają na telefony Polaków. O co w tym chodzi?,technologia,Klienci popularnej usługi stali się celem nowego oszustwa. Krętacze rozsyłają na telefony komórkowe Polaków dziwne SMS-y. Celem kampanii phishingowej jest przejęcie kont w usłudze Revolut i następnie,"https://geekweek.interia.pl/technologia/news-dziwne-sms-y-trafiaja-na-telefony-polakow-o-co-w-tym-chodzi,nId,20355789"
Nadajesz się na szpiega? Zagadka świąteczna od Jamesa Bonda ,technologia,"Brytyjskie służby specjalne Government Communications Headquarters po raz kolejny opublikowały w sieci zadanie, dzięki któremu każdy może ocenić, czy ma w sobie coś z Agenta 007. Tym razem chodzi o te","https://geekweek.interia.pl/lifestyle/news-nadajesz-sie-na-szpiega-zagadka-swiateczna-od-jamesa-bonda,nId,20355737"
To już nie sci-fi. Brytyjczycy strzelają bronią laserową,technologia,"Jeszcze w 2022 roku pisaliśmy, że broń laserowa to przyszłość i jeden z najgorętszych trendów militarnych na całym świecie, w który próbuje wpisać się wiele krajów, jak Stany Zjednoczone, Rosja, Izrae","https://geekweek.interia.pl/militaria/news-to-juz-nie-sci-fi-brytyjczycy-strzelaja-bronia-laserowa,nId,20355757"
Pokazali najmocniejszy myśliwiec Rosji. Ten szczegół budzi niepokój,technologia,"Do sieci trafiły nowe zdjęcia myśliwca Su-57 – rosyjskiej odpowiedzi na amerykańskie F-22. Uwagę przykuwa na nich część silników samolotu. Widać na nich element, mający zmniejszyć wykrywalność rosyjsk","https://geekweek.interia.pl/militaria/news-pokazali-najmocniejszy-mysliwiec-rosji-ten-szczegol-budzi-ni,nId,20355748"
"Zatopili dronami aż 15 kutrów rakietowych. ""Wojenny przełom""",technologia,Niesłychane wieści dochodzą do nas z ogarniętej wojną Syrii. Otóż izraelska armia zniszczyła tam aż 15 łodzi rakietowych za pomocą małych dronów kamikadze. Eksperci militarni wieszczą wielką rewolucję,"https://geekweek.interia.pl/militaria/news-zatopili-dronami-az-15-kutrow-rakietowych-wojenny-przelom,nId,20355754"
Rosja bezbronna wobec hipersonicznych pocisków Dark Eagle,technologia,Armia Stanów Zjednoczonych kończy prace nad najpotężniejszymi na świecie hipersonicznymi pociskami balistycznymi o nazwie LRHW Dark Eagle. Pierwsze ich wyrzutnie mają być rozmieszczone już w przyszłym,"https://geekweek.interia.pl/militaria/news-rosja-bezbronna-wobec-hipersonicznych-pociskow-dark-eagle,nId,20355751"
W Ukrainie żołnierze wyglądają jak humanoidalne roboty,technologia,"Ukraińscy żołnierze otrzymali kolejne zestawy francuskich systemów Mistral, które wizualnie zmieniają ich w cyborgi. Ta broń to potężne narzędzie do neutralizacji rosyjskich dronów kamikadze i śmigłow","https://geekweek.interia.pl/militaria/news-w-ukrainie-zolnierze-wygladaja-jak-humanoidalne-roboty,nId,20355752"
"Pentagon: Rosja użyje Oriesznika w ""nadchodzących dniach""",technologia,"Amerykański departament obrony ostrzega, że w najbliższych dniach Rosja może ponownie użyć rakiet Oriesznik – najnowszej broni, która ma sterroryzować Ukrainę i Zachód. Po raz pierwszy usłyszeliśmy o","https://geekweek.interia.pl/militaria/news-pentagon-rosja-uzyje-oriesznika-w-nadchodzacych-dniach,nId,20355731"
LG kończy pewną erę. Ucieka z rynku odtwarzaczy płyt,technologia,"Choć większość z Was zapewne dawno już zapomniała o oglądaniu filmów na płytach, przerzucając się całkowicie na serwisy streamingowe, to jednak wciąż istnieje spora grupa osób, która preferuje bardzie","https://geekweek.interia.pl/technologia/news-lg-konczy-pewna-ere-ucieka-z-rynku-odtwarzaczy-plyt,nId,20355724"
Nowy rozkład jazdy. 505 pociągów i krótsze czasy przejazdów,technologia,"Nowy rozkład jazdy pociągów wchodzi w życie 15 grudnia 2024 roku. PKP Intercity twierdzi, że wraz z nim na wybranych trasach zapewni rekordowe czasy przejazdów. Przewoźnik każdej doby planuje wypuszcz","https://geekweek.interia.pl/technologia/news-nowy-rozklad-jazdy-505-pociagow-i-krotsze-czasy-przejazdow,nId,20355711"
Google Gemini 2.0 już jest. AI z nowymi możliwościami,technologia,"Gemini 2.0 to nowy model sztucznej inteligencji Google, który wprowadza nowe osiągnięcia w zakresie multimodalności. Wśród nich wymienia się możliwość natywnego generowania obrazów czy dźwięku. Użytko","https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-google-gemini-2-0-juz-jest-ai-z-nowymi-mozliwosciami,nId,20355706"
Największe drony polskiej armii. Podpisano umowę na MQ-9B,technologia,"Agencja Uzbrojenia podpisała z amerykańską firmą General Atomics umowę na zakup bezzałogowego systemu powietrznego MQ-9B SkyGuardian. To kilka dronów wielkości samolotów, które mają wzmocnić możliwośc","https://geekweek.interia.pl/militaria/news-najwieksze-drony-polskiej-armii-podpisano-umowe-na-mq-9b,nId,20355697"
Netflix zalicza wpadkę. Wyciekły dane uczestników konkursu,technologia,"Netflix zlecił zorganizowanie konkursu związanego ze Squid Game, którym zajęła się zewnętrzna firma. Niestety, doszło do wycieku danych uczestników zabawy. Do sieci przedostały się imiona, nazwiska, a","https://geekweek.interia.pl/technologia/news-netflix-zalicza-wpadke-wyciekly-dane-uczestnikow-konkursu,nId,20355694"
"Osa z nowym ""żądłem"". Samoloty i drony będą spadać z nieba",technologia,"Fundacja Come Back Alive pomyślnie zakończyła realizację projekt HORNET, inwestując ponad 14 milionów hrywien, czyli ok. 340 tys. USD w modernizację kołowych systemów rakietowych ziemia-powietrze Os","https://geekweek.interia.pl/militaria/news-osa-z-nowym-zadlem-samoloty-i-drony-beda-spadac-z-nieba,nId,20355689"
Max i Player trafiają na kolejne telewizory,technologia,"Max i Player to popularne platformy, które dostępne są także w postaci aplikacji na różne telewizory. Dzięki współpracy Warner Bros. Discovery nawiązanej z Vidaa produkcje dostępne w tych usługach będ","https://geekweek.interia.pl/technologia/news-max-i-player-trafiaja-na-kolejne-telewizory,nId,20355629"
"Chiny zaskoczyły Stany Zjednoczone ""niewidzialnym"" myśliwcem",technologia,"Chińska armia rozpoczęła testy swojego myśliwca stealth J-20S, który został wyposażony w długo oczekiwany potężny silnik WS-15. Pekin zaskoczył Waszyngton tym ruchem. Ten myśliwiec stanowi duże zagroż","https://geekweek.interia.pl/lotnictwo/news-chiny-zaskoczyly-stany-zjednoczone-niewidzialnym-mysliwcem,nId,20355685"
Dramat Rosjan. Wydali 4000 złotych na iPhone'a z plasteliny,technologia,"Wielki dramat przeżyło dziesiątki rosyjskich mieszkańców Jekaterynburga. Otóż zakupili oni za swoje oszczędności najnowsze smartfony, które okazały się być plastelinową atrapą. Rosyjskie media rozpisu","https://geekweek.interia.pl/technologia/news-dramat-rosjan-wydali-4000-zlotych-na-iphone-a-z-plasteliny,nId,20355686"
Syryjscy rebelianci chwalą się przejętą rosyjską bronią,technologia,"W serwisach społecznościowych jak grzyby po deszczu pojawiają się materiały filmowe, na których syryjscy rebelianci nie tylko chwalą się przejętym rosyjskim sprzętem militarnym, ale również czynią z n","https://geekweek.interia.pl/militaria/news-syryjscy-rebelianci-chwala-sie-przejeta-rosyjska-bronia,nId,20355684"
Chińczyk oskarżony o szpiegostwo. Latał dronem nad bazą USA,technologia,"39-letni obywatel Chin został aresztowany na podstawie federalnej skargi za podejrzenie latania dronem nad amerykańską bazą wojskową Vandenberg Space Force Base. Podejrzewa się, że chciał przekazać in","https://geekweek.interia.pl/bezpieczenstwo/news-chinczyk-oskarzony-o-szpiegostwo-latal-dronem-nad-baza-usa,nId,20355670"
Porażka AI. Luigi Mangione przechytrzył technologię,technologia,"26-letni Luigi Mangione został oskarżony o zabójstwo prezesa jednej z największych amerykańskich firm ubezpieczeniowych. W Stanach za ten czyn zdobył wśród wielu tytuł bohatera, walczącego z korporacj","https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-porazka-ai-luigi-mangione-przechytrzyl-technologie,nId,20355641"
Chińskie służby testują autonomicznego robo-policjanta,technologia,"Chińskie organy ścigania rozpoczęły testy autonomicznego robota o nazwie RT-G, opracowanego przez rodzime przedsiębiorstwo Logon Technology. Co ciekawe, nie jest to wcale humanoid czy robo-pies w styl","https://geekweek.interia.pl/roboty/news-chinskie-sluzby-testuja-autonomicznego-robo-policjanta,nId,20355651"
Samsung Galaxy S25 wprowadzi wyczekiwaną funkcję,technologia,"Samsung Galaxy S25 zadebiutuje w przyszłym miesiącu i ma szansę spopularyzować jeden z ciekawych standardów dotyczących ładowania baterii. Mowa o Qi2, który jest ciekawym rozwiązaniem, ale wśród produ","https://geekweek.interia.pl/technologia/news-samsung-galaxy-s25-wprowadzi-wyczekiwana-funkcje,nId,20355639"
"""Kiedyś science fiction, dziś rzeczywistość"". Ruta po testach",technologia,"Ukraina kontynuuje demonstrowanie swoich rosnących możliwości w zakresie technologii rakietowej i dronowej. Prezydent Wołodymyr Zełenski ogłosił pomyślne testy produkowanego lokalnie pocisku Ruta, a K","https://geekweek.interia.pl/militaria/news-kiedys-science-fiction-dzis-rzeczywistosc-ruta-po-testach,nId,20355615"
Zniszczyli aż 30 myśliwców w Syrii. Rosja bezradna,technologia,"W ostatnich dniach, izraelska armia dokonała licznych ataków rakietowych na syryjskie obiekty rządowe i wojskowe. W ich wyniku zniszczono m.in. całą flotę myśliwców w bazie lotniczej w prowincji Suwaj","https://geekweek.interia.pl/lotnictwo/news-zniszczyli-az-30-mysliwcow-w-syrii-rosja-bezradna,nId,20355607"
Ikony aplikacji na smartfonach skrywają brzydki sekret,technologia,"Jak wyjaśnia dr Anastasia Dedyukhina z organizacji Consciously Digital, większość użytkowników smartfonów nie zdaje sobie sprawy, że ikony aplikacji na urządzenia mobilne zostały zaprojektowane tak, a","https://geekweek.interia.pl/internet/news-ikony-aplikacji-na-smartfonach-skrywaja-brzydki-sekret,nId,20355550"
Rosyjska broń z Syrii może trafić do Ukrainy,technologia,Upadek reżimu Baszara al-Asada w Syrii ostatecznie może zakończyć się bardzo korzystnie dla Ukrainy. Otóż rosyjski sprzęt używany przez armię może trafić w ręce Ukrainy i być wykorzystany przeciw Rosj,"https://geekweek.interia.pl/militaria/news-rosyjska-bron-z-syrii-moze-trafic-do-ukrainy,nId,20355610"
