headline,category,url,sub_category
W ChatGPT porozmawiasz teraz ze Świętym Mikołajem,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-w-chatgpt-porozmawiasz-teraz-ze-swietym-mikolajem,nId,20355805",Sztuczna inteligencja
Google prezentuje Androida XR. System z przyszłości,technologia,"https://geekweek.interia.pl/technologia/news-google-prezentuje-androida-xr-system-z-przyszlosci,nId,20355773",Technologia
Dziwne SMS-y trafiają na telefony Polaków. O co w tym chodzi?,technologia,"https://geekweek.interia.pl/technologia/news-dziwne-sms-y-trafiaja-na-telefony-polakow-o-co-w-tym-chodzi,nId,20355789",Technologia
Nadajesz się na szpiega? Zagadka świąteczna od Jamesa Bonda ,technologia,"https://geekweek.interia.pl/lifestyle/news-nadajesz-sie-na-szpiega-zagadka-swiateczna-od-jamesa-bonda,nId,20355737",Lifestyle
To już nie sci-fi. Brytyjczycy strzelają bronią laserową,technologia,"https://geekweek.interia.pl/militaria/news-to-juz-nie-sci-fi-brytyjczycy-strzelaja-bronia-laserowa,nId,20355757",Militaria
Pokazali najmocniejszy myśliwiec Rosji. Ten szczegół budzi niepokój,technologia,"https://geekweek.interia.pl/militaria/news-pokazali-najmocniejszy-mysliwiec-rosji-ten-szczegol-budzi-ni,nId,20355748",Militaria
"Zatopili dronami aż 15 kutrów rakietowych. ""Wojenny przełom""",technologia,"https://geekweek.interia.pl/militaria/news-zatopili-dronami-az-15-kutrow-rakietowych-wojenny-przelom,nId,20355754",Militaria
Rosja bezbronna wobec hipersonicznych pocisków Dark Eagle,technologia,"https://geekweek.interia.pl/militaria/news-rosja-bezbronna-wobec-hipersonicznych-pociskow-dark-eagle,nId,20355751",Militaria
W Ukrainie żołnierze wyglądają jak humanoidalne roboty,technologia,"https://geekweek.interia.pl/militaria/news-w-ukrainie-zolnierze-wygladaja-jak-humanoidalne-roboty,nId,20355752",Militaria
"Pentagon: Rosja użyje Oriesznika w ""nadchodzących dniach""",technologia,"https://geekweek.interia.pl/militaria/news-pentagon-rosja-uzyje-oriesznika-w-nadchodzacych-dniach,nId,20355731",Militaria
LG kończy pewną erę. Ucieka z rynku odtwarzaczy płyt,technologia,"https://geekweek.interia.pl/technologia/news-lg-konczy-pewna-ere-ucieka-z-rynku-odtwarzaczy-plyt,nId,20355724",Technologia
Nowy rozkład jazdy. 505 pociągów i krótsze czasy przejazdów,technologia,"https://geekweek.interia.pl/technologia/news-nowy-rozklad-jazdy-505-pociagow-i-krotsze-czasy-przejazdow,nId,20355711",Technologia
Google Gemini 2.0 już jest. AI z nowymi możliwościami,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-google-gemini-2-0-juz-jest-ai-z-nowymi-mozliwosciami,nId,20355706",Sztuczna inteligencja
Największe drony polskiej armii. Podpisano umowę na MQ-9B,technologia,"https://geekweek.interia.pl/militaria/news-najwieksze-drony-polskiej-armii-podpisano-umowe-na-mq-9b,nId,20355697",Militaria
Netflix zalicza wpadkę. Wyciekły dane uczestników konkursu,technologia,"https://geekweek.interia.pl/technologia/news-netflix-zalicza-wpadke-wyciekly-dane-uczestnikow-konkursu,nId,20355694",Technologia
"Osa z nowym ""żądłem"". Samoloty i drony będą spadać z nieba",technologia,"https://geekweek.interia.pl/militaria/news-osa-z-nowym-zadlem-samoloty-i-drony-beda-spadac-z-nieba,nId,20355689",Militaria
Max i Player trafiają na kolejne telewizory,technologia,"https://geekweek.interia.pl/technologia/news-max-i-player-trafiaja-na-kolejne-telewizory,nId,20355629",Technologia
"Chiny zaskoczyły Stany Zjednoczone ""niewidzialnym"" myśliwcem",technologia,"https://geekweek.interia.pl/lotnictwo/news-chiny-zaskoczyly-stany-zjednoczone-niewidzialnym-mysliwcem,nId,20355685",Lotnictwo
Dramat Rosjan. Wydali 4000 złotych na iPhone'a z plasteliny,technologia,"https://geekweek.interia.pl/technologia/news-dramat-rosjan-wydali-4000-zlotych-na-iphone-a-z-plasteliny,nId,20355686",Technologia
Syryjscy rebelianci chwalą się przejętą rosyjską bronią,technologia,"https://geekweek.interia.pl/militaria/news-syryjscy-rebelianci-chwala-sie-przejeta-rosyjska-bronia,nId,20355684",Militaria
Chińczyk oskarżony o szpiegostwo. Latał dronem nad bazą USA,technologia,"https://geekweek.interia.pl/bezpieczenstwo/news-chinczyk-oskarzony-o-szpiegostwo-latal-dronem-nad-baza-usa,nId,20355670",Bezpieczeństwo
Porażka AI. Luigi Mangione przechytrzył technologię,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-porazka-ai-luigi-mangione-przechytrzyl-technologie,nId,20355641",Sztuczna inteligencja
Chińskie służby testują autonomicznego robo-policjanta,technologia,"https://geekweek.interia.pl/roboty/news-chinskie-sluzby-testuja-autonomicznego-robo-policjanta,nId,20355651",Roboty
Samsung Galaxy S25 wprowadzi wyczekiwaną funkcję,technologia,"https://geekweek.interia.pl/technologia/news-samsung-galaxy-s25-wprowadzi-wyczekiwana-funkcje,nId,20355639",Technologia
"""Kiedyś science fiction, dziś rzeczywistość"". Ruta po testach",technologia,"https://geekweek.interia.pl/militaria/news-kiedys-science-fiction-dzis-rzeczywistosc-ruta-po-testach,nId,20355615",Militaria
Zniszczyli aż 30 myśliwców w Syrii. Rosja bezradna,technologia,"https://geekweek.interia.pl/lotnictwo/news-zniszczyli-az-30-mysliwcow-w-syrii-rosja-bezradna,nId,20355607",Lotnictwo
Ikony aplikacji na smartfonach skrywają brzydki sekret,technologia,"https://geekweek.interia.pl/internet/news-ikony-aplikacji-na-smartfonach-skrywaja-brzydki-sekret,nId,20355550",Internet
Rosyjska broń z Syrii może trafić do Ukrainy,technologia,"https://geekweek.interia.pl/militaria/news-rosyjska-bron-z-syrii-moze-trafic-do-ukrainy,nId,20355610",Militaria
Sprzeciwiają się ekspansji Starlink. Musk jest „rosyjski” ,technologia,"https://geekweek.interia.pl/internet/news-sprzeciwiaja-sie-ekspansji-starlink-musk-jest-rosyjski,nId,20355562",Internet
OpenAI wypuszcza narzędzie go generowania filmów z treści,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-openai-wypuszcza-narzedzie-go-generowania-filmow-z-tresci,nId,20355540",Sztuczna inteligencja
Nowe prawo w UE od 28 grudnia. Chodzi o ładowarki do telefonu,technologia,"https://geekweek.interia.pl/technologia/news-nowe-prawo-w-ue-od-28-grudnia-chodzi-o-ladowarki-do-telefonu,nId,20355561",Technologia
Raspberry Pi 500 zaprezentowany. Komputer w klawiaturze,technologia,"https://geekweek.interia.pl/technologia/news-raspberry-pi-500-zaprezentowany-komputer-w-klawiaturze,nId,20355533",Technologia
Rosja śmieje się nam w twarz. Kilka kliknięć i towar płynie,technologia,"https://geekweek.interia.pl/militaria/news-rosja-smieje-sie-nam-w-twarz-kilka-klikniec-i-towar-plynie,nId,20355506",Militaria
Gigantyczna porażka amerykańskich czołgów Abrams w Ukrainie,technologia,"https://geekweek.interia.pl/militaria/news-gigantyczna-porazka-amerykanskich-czolgow-abrams-w-ukrainie,nId,20355503",Militaria
Rosjanie w panice zabrali wszystkie bombowce. Sukces Ukrainy,technologia,"https://geekweek.interia.pl/lotnictwo/news-rosjanie-w-panice-zabrali-wszystkie-bombowce-sukces-ukrainy,nId,20355504",Lotnictwo
iOS 18.2. Co nowego z aktualizacją dla iPhone'a?,technologia,"https://geekweek.interia.pl/technologia/news-ios-18-2-co-nowego-z-aktualizacja-dla-iphone-a,nId,20355468",Technologia
Polacy stworzyli pierwszy w Europie latający motocykl,technologia,"https://geekweek.interia.pl/technologia/news-polacy-stworzyli-pierwszy-w-europie-latajacy-motocykl,nId,20355416",Technologia
Syryjscy rebelianci zdobyli rosyjskie militarne złoto,technologia,"https://geekweek.interia.pl/militaria/news-syryjscy-rebelianci-zdobyli-rosyjskie-militarne-zloto,nId,20355500",Militaria
Pierwsza diamentowa bateria. Zapewni energię na tysiące lat,technologia,"https://geekweek.interia.pl/technologia/news-pierwsza-diamentowa-bateria-zapewni-energie-na-tysiace-lat,nId,20355475",Technologia
Jak przyspieszyć internet w telefonie? Sprawdzone sposoby,technologia,"https://geekweek.interia.pl/technologia/news-jak-przyspieszyc-internet-w-telefonie-sprawdzone-sposoby,nId,20355123",Technologia
mObywatel pozwoli zastrzegać dokumenty. Jakie i kiedy?,technologia,"https://geekweek.interia.pl/technologia/news-mobywatel-pozwoli-zastrzegac-dokumenty-jakie-i-kiedy,nId,20355410",Technologia
Bezprecedensowy atak Ukrainy. Rosyjskie lotnictwo w rozsypce,technologia,"https://geekweek.interia.pl/militaria/news-bezprecedensowy-atak-ukrainy-rosyjskie-lotnictwo-w-rozsypce,nId,20355469",Militaria
Superkomputer stworzył największą symulację Wszechświata,technologia,"https://geekweek.interia.pl/kosmos/news-superkomputer-stworzyl-najwieksza-symulacje-wszechswiata,nId,20355412",Kosmos
Powstał robot-szczur. Potrafi żyć z prawdziwymi osobnikami,technologia,"https://geekweek.interia.pl/technologia/news-powstal-robot-szczur-potrafi-zyc-z-prawdziwymi-osobnikami,nId,20355472",Technologia
Rosyjski satelita okrąża Ziemię co dwie godziny. To broń?,technologia,"https://geekweek.interia.pl/technologia/news-rosyjski-satelita-okraza-ziemie-co-dwie-godziny-to-bron,nId,20355408",Technologia
Drony w dronie? Rosja drży przed nowym ukraińskim systemem,technologia,"https://geekweek.interia.pl/militaria/news-drony-w-dronie-rosja-drzy-przed-nowym-ukrainskim-systemem,nId,20355400",Militaria
Drony będą patrzeć w gwiazdy. Nowy-stary system nawigacji,technologia,"https://geekweek.interia.pl/technologia/news-drony-beda-patrzec-w-gwiazdy-nowy-stary-system-nawigacji,nId,20355121",Technologia
Naukowcy mają plan. Chcą stworzyć nową globalną sieć,technologia,"https://geekweek.interia.pl/technologia/news-naukowcy-maja-plan-chca-stworzyc-nowa-globalna-siec,nId,20354978",Technologia
Telewizor na ścianie. Jaki wybrać uchwyt i śruby do montażu?,technologia,"https://geekweek.interia.pl/technologia/news-telewizor-na-scianie-jaki-wybrac-uchwyt-i-sruby-do-montazu,nId,20355053",Technologia
"Mam szybki światłowód, a Wi-Fi jest wolne. Co robić?",technologia,"https://geekweek.interia.pl/porady/news-mam-szybki-swiatlowod-a-wi-fi-jest-wolne-co-robic,nId,20355250",Porady
Gigantyczne karaluchy cyborgi będą ratować nam życie,technologia,"https://geekweek.interia.pl/technologia/news-gigantyczne-karaluchy-cyborgi-beda-ratowac-nam-zycie,nId,20355240",Technologia
Sztuczna inteligencja w telefonie. Co potrafi Google Gemini?,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-sztuczna-inteligencja-w-telefonie-co-potrafi-google-gemini,nId,20355210",Sztuczna inteligencja
Ten malutki robot jest szybszy niż karaluchy,technologia,"https://geekweek.interia.pl/technologia/news-ten-malutki-robot-jest-szybszy-niz-karaluchy,nId,20355094",Technologia
Panika Rosji na Krymie. USA wysłały tajny samolot,technologia,"https://geekweek.interia.pl/lotnictwo/news-panika-rosji-na-krymie-usa-wyslaly-tajny-samolot,nId,20355366",Lotnictwo
Rosjanie zdobyli potężny amerykański wóz bojowy,technologia,"https://geekweek.interia.pl/militaria/news-rosjanie-zdobyli-potezny-amerykanski-woz-bojowy,nId,20355362",Militaria
Rosja zwiększa moc Oresznika. Broń pojawi się blisko Polski,technologia,"https://geekweek.interia.pl/militaria/news-rosja-zwieksza-moc-oresznika-bron-pojawi-sie-blisko-polski,nId,20355361",Militaria
Ważna zmiana od 1 stycznia. Chodzi o listy polecone,technologia,"https://geekweek.interia.pl/technologia/news-wazna-zmiana-od-1-stycznia-chodzi-o-listy-polecone,nId,20355071",Technologia
Ambitny projekt NASA zostanie anulowany? Trump to rozważa,technologia,"https://geekweek.interia.pl/technologia/news-ambitny-projekt-nasa-zostanie-anulowany-trump-to-rozwaza,nId,20355269",Technologia
Zabił i ukrywał się trzy lata. TikTok pomógł go schwytać,technologia,"https://geekweek.interia.pl/internet/news-zabil-i-ukrywal-sie-trzy-lata-tiktok-pomogl-go-schwytac,nId,20355306",Internet
Starship uchwycony z pokładu ISS. Spektakularny widok,technologia,"https://geekweek.interia.pl/technologia/news-starship-uchwycony-z-pokladu-iss-spektakularny-widok,nId,20355285",Technologia
Max obiecał i tak zrobił. To wam się nie spodoba,technologia,"https://geekweek.interia.pl/technologia/news-max-obiecal-i-tak-zrobil-to-wam-sie-nie-spodoba,nId,20355279",Technologia
To jedna z największych maszyn w Europie. Buduje w Polsce,technologia,"https://geekweek.interia.pl/technologia/news-to-jedna-z-najwiekszych-maszyn-w-europie-buduje-w-polsce,nId,20355241",Technologia
"35 samolotów i 154 czołgi. Syria ""tonie"", wsparcie Rosji to za mało",technologia,"https://geekweek.interia.pl/militaria/news-35-samolotow-i-154-czolgi-syria-tonie-wsparcie-rosji-to-za-m,nId,20355260",Militaria
"To ""najbrzydsza” ciężarówka NATO. Zestawiana z polskim wozem",technologia,"https://geekweek.interia.pl/militaria/news-to-najbrzydsza-ciezarowka-nato-zestawiana-z-polskim-wozem,nId,20355198",Militaria
