headline,category,content,url
Ruch PKW ws. PiS. Adam Bodnar komentuje. 'Jesteśmy w trudnej sytuacji',wiadomosci,Bodnar o decyzji PKW: Minister sprawiedliwości Adam Bodnar był pytany w poniedziałek 16 grudnia w programie Fakty po Faktach TVN24 o decyzję PKW. Chodzi o odroczenie obrad ws. sprawozdania komitetu,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550835,ruch-pkw-ws-pis-adam-bodnar-komentuje-jestesmy-w-trudnej.html"
"KO i PiS na czele, ale nie wśród najmłodszych wyborów. Duży skok jednej partii [SONDAŻ]",wiadomosci,"Najnowszy sondaż firmy Opinia24 dla RMF FM: Z badania, którego wyniki opublikowano we wtorek 17 grudnia, wynika, że Koalicja Obywatelska wygrałaby wybory parlamentarne. Jej wynik to 31,9 proc. i jest","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550804,ko-i-pis-na-czele-ale-nie-wsrod-najmlodszych-wyborow-duzy.html"
Tajemnicze drony nad USA. Trump uderza w rządzących: Chcą trzymać ludzi w napięciu,wiadomosci,"Co się dzieje: W ostatnich tygodniach w New Jersey i okolicznych stanach coraz częściej na niebie widać drony. Temat wzbudził spore poruszenie, także wśród polityków. Prezydent elekt Donald Trump stwi","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550780,tajemnicze-drony-nad-usa-trump-uderza-w-rzadzacych-chca-trzymac.html"
USA. Strzały w klasie. Są zabici i ranni. Zidentyfikowano sprawczynię. To 15-letnia uczennica,wiadomosci,Co się dzieje: Uczennica prywatnej szkoły Abundant Life Christian School w Madison w amerykańskim stanie Wisconsin otworzyła ogień w klasie. W wyniku ataku zginął jeden z uczniów oraz nauczyciel. Sześ,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550764,usa-strzaly-w-klasie-sa-zabici-i-ranni-zidentyfikowano-sprawczynie.html"
Tragiczny wypadek na Podlasiu. Pilny apel policji po śmierci trzech nastolatków,wiadomosci,"Apel policji po śmiertelnym wypadku na Podlasiu: Po śmiertelnym wypadku w powiecie sokólskim na Podlasiu służby szukają wszelkich informacji o przebiegu zdarzenia. Wszystkie osoby, które były świadka","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550772,tragiczny-wypadek-na-podlasiu-pilny-apel-policji-po-smierci.html"
Wybuchy w Moskwie. Nie żyje rosyjski generał. Ukraina oskarżyła go o użycie broni chemicznej,wiadomosci,"Co się stało: We wtorek 17 grudnia poinformowano o śmierci dwóch wojskowych w Moskwie. W wyniku eksplozji, oprócz generała Igora Kiriłłowa, zginął także jego asystent. Rosyjski komitet śledczy potwier","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550785,wybuchy-w-moskwie-media-nie-zyje-rosyjski-general-i-jego-asystent.html"
Nieugięty sędzia nie daje za wygraną. Odrzucił wniosek Trumpa w sprawie pieniędzy dla Stormy Daniels,wiadomosci,Wniosek Trumpa odrzucony: W poniedziałek 16 grudnia sędzia z Nowego Jorku Juan Merchan odrzucił wniosek prezydenta elekta o uchylenie wyroku skazującego za przestępstwo zapłaty gwieździe filmów pornog,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550754,nieugiety-sedzia-nie-daje-za-wygrana-odrzucil-wniosek-trumpa.html"
Do kiedy wystawienie ocen za pierwszy semestr? Uczniowie mają kilka tygodni,wiadomosci,Terminy wystawiania ocen w roku szkolnym 2024/2025: Wszystkie terminy są zgodne z harmonogramem ustalonym przez poszczególne szkoły. Klasyfikacja śródroczna odbywa się więc w różnych datach. Wystawien,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31483180,do-kiedy-wystawienie-ocen-za-pierwszy-semestr-uczniowie-maja.html"
Media: Król Karol III przyjedzie do Polski. Kiedy? Padła konkretna data,wiadomosci,"Wizyta monarchy: Według informacji brytyjskich mediów, m.in. The Mirror, król Karol III przyjedzie do Polski. Byłaby to pierwsza jego wizyta w naszym kraju od czasu koronacji. Wcześniej odwiedził Po","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550558,media-krol-karol-iii-przyjedzie-do-polski-kiedy-padla-konkretna.html"
Donald Trump może cofnąć ważną decyzję Bidena. Niepokojące plany wobec Ukrainy,wiadomosci,"Sugestia Donalda Trumpa: Według doniesień agencji Reutera w poniedziałek 16 grudnia prezydent elekt USA nie odpowiedział wprost, czy Ukraina powinna oddać terytoria podbite przez Rosję w ramach rozmów","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550455,donald-trump-moze-cofnac-wazna-decyzje-bidena-niepokojace-plany.html"
